
uid,chemin_relatif,titre,type
b96BuPTZk,Lois/Code/Code_du_travail/Article_R4121-1_CodeTravail.md,Code du travail — Art. R.4121-1,loi
Jc5C6tRed,Lois/Code/Code_du_travail/Article_L8221-5_CodeTravail.md,Code du travail — Art. L.8221-5,loi
2NqTDChgM,Lois/Code/Code_du_travail/Article_L4121-1_CodeTravail.md,Code du travail — Art. L.4121-1,loi
uCEQBKWpL,Lois/Code/Code_du_travail/README.md,Code_du_travail,readme
Sbmqg3bwT,Lois/Code/Code_du_travail/Article_R4323-58_CodeTravail.md,Code du travail — Art. R.4323-58,loi
CXSJ9sexE,Lois/Code/Code_général_des_collectivités_territoriales/Article_L2212-2_CodeGeneralCollectivitesTerritoriales_Legifrance.md,Article L. 2212-2 du Code général des collectivités territoriales,loi
EsAMu8TgU,Lois/Code/Code_général_des_collectivités_territoriales/Article_L2212-4_CodeGeneralCollectivitesTerritoriales_Legifrance.md,Article L. 2212-4 du Code général des collectivités territoriales,loi
7kyFJjWzq,Lois/Code/Code_général_des_collectivités_territoriales/README.md,Code_général_des_collectivités_territoriales,readme
eRsBNPgEA,Lois/Code/Code_construction_habitation/Article_R143-2_Codeconstructionhabitation_Legifrance.md,Articles R. 143-2 et suivants CCH,loi
WnKgf87V6,Lois/Code/Code_construction_habitation/README.md,Code de la construction et de l'habitation,readme
bC4xntafT,Lois/Code/Code_civil/Article_1641_CodeCivil.md,Code civil — Art. 1641,loi
ft3f7js99,Lois/Code/Code_civil/Article_1383_CodeCivil.md,Article 1383 – L'aveu,loi
JtRh9C7Qh,Lois/Code/Code_civil/Article1240_CodeCivil.md,Code civil — Art. 1240,loi
BnAtzxxTL,Lois/Code/Code_civil/Article_2044_CodeCivil.md,Article 2044 – Définition de la transaction,loi
hPM3nQBW3,Lois/Code/Code_civil/Article1242_CodeCivil.md,Code civil — Art. 1242,loi
S9GtmNu2s,Lois/Code/Code_civil/Article1719_CodeCivil_LegiFrance.md,Code civil — Art. 1719,loi
Cxa2ZR9Nx,Lois/Code/Code_civil/Article_1844-8_Code_Legifrance.md,Article 1844-8 — Code civil,loi
99wtYwktB,Lois/Code/Code_civil/Article_1382_CodeCivil.md,Article 1382 – Preuve par présomption judiciaire,loi
YdeeZcL2G,Lois/Code/Code_civil/Article_1359_CodeCivil.md,Article 1359 – Preuve par écrit des actes juridiques,loi
PUNJXXBYu,Lois/Code/Code_civil/Article_2224_CodeCivil.md,Article 2224 – Prescription de droit commun (5 ans),loi
hBq4HZJjq,Lois/Code/Code_civil/Article_2226_Code_Legifrance.md,Article 2226,loi
UCGMcu8YH,Lois/Code/Code_civil/README.md,Code_civil,readme
XjbEkgeS4,Lois/Code/Code_civil/Article1720_CodeCivil_LegiFrance.md,Code civil — Art. 1720,loi
Ev35HLL86,Lois/Code/Livre_des_procédures_fiscales/Article_L274_LivreProceduresFiscales.md,Livre des procédures fiscales — Art. L.274,loi
VkgaXkEkE,Lois/Code/Livre_des_procédures_fiscales/README.md,Livre_des_procédures_fiscales,readme
6RacfkYMn,Lois/Code/Livre_des_procédures_fiscales/Article_L252_LivreProceduresFiscales.md,Livre des procédures fiscales — Art. L.252,loi
m7dPTsR3e,Lois/Code/Code_procédure_civile/Article_202_CodeDeProcedureCivile.md,Code de procédure civile — Art. 202,loi
fniFjGFCG,Lois/Code/Code_procédure_civile/Article_655_CodeProcedureCivile.md,Article 655 – Signification à domicile ou à résidence,loi
yxnuYdx2p,Lois/Code/Code_procédure_civile/Article_263_Codeproc_Legifrance.md,Articles 263 et suivants,loi
LTRWGhBGL,Lois/Code/Code_procédure_civile/Article835_CodeDeProcedureCivile_LegiFrance.md,Code civil — Art. 835,loi
EXmD8dN7t,Lois/Code/Code_procédure_civile/Article_144_CodeDeProcedureCivile.md,Code de procédure civile — Art. 144,loi
5XnLrdAug,Lois/Code/Code_procédure_civile/Article_700_Codeproc_Legifrance.md,Article 700,loi
jGwAhbDgR,Lois/Code/Code_procédure_civile/Article_145_CodeDeProcédureCivile_Legifrance.md,Code civil — Art. 145,loi
DbQD9avhY,Lois/Code/Code_procédure_civile/README.md,Code de procédure civile,readme
x7FF3LAWr,Lois/Code/Code_pénal/Article_121-1a121-7_CodePenal_Legifrance.md,Articles 121-1 à 121-7 — Code pénal,loi
fnFBrhTGi,Lois/Code/Code_pénal/Article_222-19_CodePenal_Legifrance.md,Code pénal — Art. 222-19,loi
yvH2JqxCZ,Lois/Code/Code_pénal/Article_434-4_CodePenal_Legifrance.md,Article 434-4 du Code pénal,loi
ijrN7Yciw,Lois/Code/Code_pénal/Article_314-7_CodePenal_Legifrance.md,Article 314-7 du Code pénal,loi
ijwKfxjNi,Lois/Code/Code_pénal/Article_121-3_Code_Legifrance.md,Article 121-3 — Code pénal,loi
2emcdFHhx,Lois/Code/Code_pénal/Article_434-15-1_CodePenal_Legifrance.md,Article 434-15-1 du Code pénal,loi
Nh7nX9Gz2,Lois/Code/Code_pénal/Article_223-1_Code_Legifrance.md,Article 223-1,loi
LAQ4GDPRR,Lois/Code/Code_pénal/README.md,Code_pénal,readme
FaV5Ce579,Lois/Code/Code_pénal/Article_434-15_CodePenal_Legifrance.md,Article 434-15 du Code pénal,loi
ZePHe4dGp,Lois/Code/Code_pénal/Article222-20_CodePenal_LegiFrance.md,Code pénal — Art. 222-20,loi
zkUn2hBfZ,Lois/Code/Code_procédure_pénale/Article_77-1-1_CodeProcedurePenale.md,Code de procédure pénale — Art. 77-1-1,loi
t4NNCusWd,Lois/Code/Code_procédure_pénale/Article475-1_CodeProcedurePenale.md,Code pénal — Art. 475-1,loi
PEnkxEgWF,Lois/Code/Code_procédure_pénale/Article_80_CodeProcedurePenale.md,Code de procédure pénale — Art. 80,loi
kXDRrcjb4,Lois/Code/Code_procédure_pénale/Article_53_CodeProcedurePenale.md,Code de procédure pénale — Art. 53,loi
66RhR3KS8,Lois/Code/Code_procédure_pénale/Article_706-5_CodeProcedurePenale.md,Code de procédure pénale — Art. 706-5,loi
ccbgZJA4P,Lois/Code/Code_procédure_pénale/Article_8_CodeProcedurePenale.md,Code de procédure pénale — Art. 8,loi
TM9jqpPjj,Lois/Code/Code_procédure_pénale/Article_15-3_CodeProcedurePenale.md,Code de procédure pénale — Art. 15-3,loi
EyusKAHyf,Lois/Code/Code_procédure_pénale/Article_40_CodeProcedurePenale.md,Code de procédure pénale — Art. 40,loi
jPbP6vX2J,Lois/Code/Code_procédure_pénale/Article_86_CodeProcedurePenale.md,Code de procédure pénale — Art. 86,loi
3nyY9aMYV,Lois/Code/Code_procédure_pénale/README.md,Code de procédure pénale,readme
janNTit97,Lois/Code/Code_procédure_pénale/Article_706-3_CodeProcedurePenale_Legifrance.md,Article 706-3 du Code de procédure pénale,loi
kLG2nDUWv,Lois/Code/Code_des_relations_entre_le_public_et_l'administration/Article_L311-1_CRPA.md,Code des relations entre le public et l'administration — Art. L.311-1,loi
TWL8WB8mx,Lois/Code/Code_des_relations_entre_le_public_et_l'administration/README.md,Code_des_relations_entre_le_public_et_l'administration,readme
iwmztBWym,Lois/Code/Code_assurances/Article_L113-1_Codesassurances.md,Code des assurances — Art. L.113-1,loi
PgQNKGQ9N,Lois/Code/Code_assurances/Article_L121-1a121-7_Code_Legifrance.md,Articles 121-1 à 121-7,loi
PJNNdNEtL,Lois/Code/Code_assurances/Article_L113-2_Codesassurances_Legifrance.md,Article L113-2,loi
tWLbtN7Py,Lois/Code/Code_assurances/Article_L124-3_Codesassurances_Legifrance.md,Article L124-3,loi
gCvyHwUaL,Lois/Code/Code_assurances/README.md,Code des assurances,readme
GNjhcLZds,Lois/Code/Code_assurances/Article_L114-1_Codesassurances.md,Code des assurances — Art. L.114-1,loi
kQxMHLmVb,Lois/Code/Code_sécurite_sociale/Accident_Travail_Independants.md,Régime AT/MP des travailleurs indépendants,loi
U78w55tjL,Lois/Code/Code_sécurite_sociale/README.md,Code de la sécurité sociale,readme
D92Jv94Cz,Lois/Code/Autres_codes/README.md,Autres_codes,readme
A8S3i5LYY,Lois/Code/Code_commerce/Article_L223-22_Codecommerce_Legifrance.md,Article L. 223-22,loi
vwNPXDMye,Lois/Code/Code_commerce/Article_R123-128_Codecommerce.md,Code de commerce — Art. R.123-128,loi
zeF5xiMXc,Lois/Code/Code_commerce/Article_L611-3_Code_Legifrance.md,Article L611-3,loi
Qz3KdTuSz,Lois/Code/Code_commerce/Article_L227-8_Codecommerce_Legifrance.md,Article L227-8,loi
xnE8X3GqA,Lois/Code/Code_commerce/Article_L227-1_Code_Legifrance.md,Article L227-1,loi
W45PH8GpE,Lois/Code/Code_commerce/Article_R123-2_Codecommerce.md,Code de commerce — Art. R.123-2,loi
E3Q3eHG68,Lois/Code/Code_commerce/Article_L622-24_Codecommerce.md,Code de commerce — Art. L.622-24,loi
442tKXKX4,Lois/Code/Code_commerce/Article_L237-2_Codecommerce_Legifrance.md,Article L237-2,loi
ueC65GjJe,Lois/Code/Code_commerce/Article_L123-3_Codecommerce.md,Code de commerce — Art. L.123-3,loi
Dafw3V2wn,Lois/Code/Code_commerce/Article_L210-6_Codecommerce_Legifrance.md,Article L210-6,loi
ccEBDKz9V,Lois/Code/Code_commerce/Article_L123-2_Code_Legifrance.md,Article L123-2,loi
xHQQiMr6A,Lois/Code/Code_commerce/Article_L225-251_Codecommerce_Legifrance.md,Code de commerce — Art. L.225-251,loi
w6yq3SLEg,Lois/Code/Code_commerce/README.md,Code de commerce,readme
UbEeXjTBd,Lois/Code/Code_commerce/Article_L123-5-1_Codecommerce.md,Code de commerce — Art. L.123-5-1,loi
46YHwuNxY,Lois/Code/Code_consommation/Article_L421-3_Codeconsommation_Legifrance.md,Article L421-3,loi
Y5MwBMwRJ,Lois/Code/Code_consommation/README.md,Code de la consommation,readme
SghdxZvEy,Simulations/01_Commissaire_Police.md,Rapport du Commissaire Divisionnaire de Police — Enquête Préliminaire,simulation
HvMc3AJy5,Simulations/08_Expert_Judiciaire.md,Rapport de l'Expert Judiciaire — Spécialité Chirurgie de la Main,simulation
majwxEkKz,Simulations/03_Juge_Referes.md,Rapport du Juge des Référés — TJ Foix,simulation
pxcBSNkQs,Simulations/05_Procureur.md,Rapport du Procureur de la République — TJ Foix,simulation
BTC4pQc94,Simulations/02_Juge_Instruction.md,Rapport du Juge d'Instruction — TJ Foix,simulation
7QyianHCr,Simulations/07_Avocat_Conseil.md,Rapport Avocat — Stratégie Globale,simulation
t4kq2YAkU,Simulations/10_Inspecteur_Travail.md,Rapport de l'Inspecteur du Travail — Contrôle Santé et Sécurité,simulation
xgJgefzEG,Simulations/12_Medecin_Legiste.md,Rapport d'Analyse Médico-Légale (Avis sur Pièces),simulation
BjQ3gVR2H,Simulations/13_Notaire.md,Analyse du Notaire — Structure SAS et Responsabilité des Dirigeants,simulation
ttdMxjj4y,Simulations/06_Gendarme_OPJ.md,Rapport du Gendarme (OPJ) — Enquête de Police Judiciaire,simulation
hgYAiVqLx,Simulations/15_Mediateur.md,Rapport du Médiateur Judiciaire — Évaluation du Potentiel de Résolution Amiable,simulation
Z2p73cmXd,Simulations/04_Juge_Civil.md,Rapport du Juge Civil — TJ Foix (Fond),simulation
yjgzNxRya,Simulations/11_Expert_Assurances.md,Rapport d'Expertise en Droit des Assurances,simulation
S8JHhfChF,Simulations/09_Prefet.md,Rapport du Préfet de l'Ariège — Police Administrative et Conformité ERP,simulation
eMS9CrnpA,Simulations/14_Juge_Enfants.md,Analyse du Juge des Enfants / JAF — Implications Familiales,simulation
gduD2MKuU,Simulations/README.md,Simulations — Analyses Multi-Angle du Dossier Accident Main,navigation
s438kN9pa,Status/02_PRET_POUR_ENVOI.md,📤 Prêt pour envoi,readme
ZtWiDFvHx,Status/01_PREPARATION.md,📋 Préparation,readme
UKfG8uaTb,Status/03_ENVOYE.md,✅ Envoyé,readme
sj2Kg3Qnk,Status/README.md,Index des statuts,readme
7PMm7rZ84,.dev/README.md,🛠️ Environnement de Développement,readme
knMPGMe8Z,.dev/.venv/lib/python3.12/site-packages/huggingface_hub/templates/datasetcard_template.md,,
qZsGNE3dr,.dev/.venv/lib/python3.12/site-packages/huggingface_hub/templates/modelcard_template.md,,
xduRJBrqc,.dev/.venv/lib/python3.12/site-packages/typer/.agents/skills/typer/SKILL.md,,
GwmWFWA4X,.dev/.venv/lib/python3.12/site-packages/fastapi/.agents/skills/fastapi/SKILL.md,,
ARtmDzeFg,.dev/.venv/lib/python3.12/site-packages/google/adk/tools/bigquery/skills/bigquery-ai-ml/SKILL.md,,
uA9zLNQj2,.dev/app/README.md,Documentation des scripts de l'application (.dev/app/),readme
yMwJDyAf6,.dev/jules_recommandations/RECOMMANDATIONS_REDACTION.md,Recommandations pour la Rédaction des Actes Juridiques,readme
wrF22yMid,.dev/jules_recommandations/README.md,📁 jules_recommandations,readme
2pmuMBnN6,.dev/tests/README.md,🧪 Tests,readme
wzbfejE2t,.dev/tests/eval/README.md,📊 Évaluation,readme
Qyc8q649m,.dev/tests/eval/datasets/README.md,Evaluation Datasets,readme
reUWBAict,Memory/DESIGN.md,DESIGN — Charte Graphique Google Docs,memory
TMCuzGcgh,Memory/Fiche_Suivi_Démarches_Administratives.md,Fiche de suivi — Démarches administratives,memory
8PMRSEgGj,Memory/WORKFLOW.md,WORKFLOW D'ANONYMIZATION,memory
AKr88jGkD,Memory/TODO.md,TODO — Plans d'action + Tableau de bord Sébastien,memory
kv7rSFGDx,Memory/PIECES_A_AJOUTER_DOC.md,Pièces à ajouter dans le Google Doc (Pj & Chronologie WIP),readme
LxmZYV7HP,Memory/FINANCIAL_VARIABLES_DEPRECATED.md,⚠ DÉPRÉCIÉ — VARIABLES FINANCIÈRES (voir STRICT VARIABLES.md),memory
KPTPPtjaZ,Memory/DEPENDANCES.md,DEPENDANCES — Graphe des dépendances logiques,memory
VkVT588Ra,Memory/PIECES MAP.md,PIECES MAP — Correspondance Documents ↔ Pièces,memory
xdhP7MfAL,Memory/TOKEN MAP.md,TABLE DE SUBSTITUTION — Anonymisation (tokens V2),memory
ygbevdrsF,Memory/GOOGLE_SHEET_PJ_PROTOCOL.md,PROTOCOLE GOOGLE SHEET PJ — Restauration et Enrichissement par Liens GitHub,memory
5nVrisGjF,Memory/STATUS.md,STATUT D'AVANCEMENT — 22 juillet 2026 (maj 22/07 23:45),memory
ujPqRZsw4,Memory/USER_DOC_SYNTHESE.md,Document de Synthèse Utilisateur — Plainte Complémentaire Réelle,memory
fs6QBFjQq,Memory/Mémo_Stratégie_Bailleur_HB_BARBER.md,"Mémo — Stratégie bailleur DELRIEU, HB BARBER et certificat Caisse d'Épargne",memory
q89nixEvp,Memory/GESTIONNAIRE_DOC.md,Fiche rôle - Gestionnaire de documentation,memory
D7uRHZxRL,Memory/STATS_DOSSIER.md,Statistiques Générales du Dossier,memory
8LKVfAt37,Memory/JURITEXT_PROTOCOL.md,PROTOCOLE JURITEXT — Vérification obligatoire des identifiants de jurisprudence,memory
rCB6YGRut,Memory/STRICT VARIABLES.md,VARIABLES STRICTES — Source Unique de Vérité,memory
xHs9SgFY4,Memory/CARNET_RDV_UTILISATEUR.md,📅 Carnet des Rendez-vous et Événements Utilisateur (Synthèse),memory
5Yp3Etay6,Memory/CONVENTIONS.md,CONVENTIONS DE FORMATAGE UNIFIÉES,memory
dsSLivK98,Memory/PLAN_ACTION_B.md,PLAN D'ACTION B — OBTENTION DES PREUVES MATÉRIELLES,memory
wecSM8rnM,Memory/RECOVERY_CHECKPOINT.md,RECOVERY CHECKPOINT — 18 juillet 2026,memory
69MsBGvMy,Memory/EVIDENCE_MATRIX.md,Matrice des Preuves,memory
ctQaGVEN2,Memory/RULES.md,RÈGLES PERMANENTES — Dossier Accident de la Main,memory
ezzQUzUUM,Memory/DECISIONS.md,DÉCISIONS CLÉS,memory
DDqp5xsyy,Memory/JUSTIFICATION_PROVISION_15000.md,Justification de la Provision de 15 000 € en Référé,memory
RsUX646Xa,Memory/DEPENDENCIES.md,Graphe de Dépendances,memory
i4dt29Xys,Memory/JULES_MCP_GUIDELINES.md,Directives et Bonnes Pratiques d'Orchestration avec Google Jules MCP,memory
2CVE9BTus,Memory/Mini_Calendrier_Procedure.md,Mini calendrier — Procédure accident Foix,memory
nX16jJ7cJ,Memory/NOTE_CONFIDENTIELLE_20260716_Constat_Salon.md,Note interne confidentielle — Constat sur place du 16/07/2026 et enregistrement audio,analyse
CMWW337sg,Memory/VACCIN.md,VACCIN — Protocole obligatoire avant chaque action,memory
HtTF35a6C,Memory/README.md,🧠 Mémoire du Projet,readme
JiqFPsXXR,Memory/RECADRAGE_NOMENCLATURE.md,NOTIFICATION — Application immédiate de l'Avenant Nomenclature,memory
4ZrvDjWqE,Memory/SESSION_AUDIT_DATES_JUILLET2026.md,SESSION — Audit Dates & Faux Positifs Jules,session
d5khn8AJv,Memory/NOTE_SYNTHESE_AVOCAT.md,Note de Synthèse pour Avocat,memory
34bbtiEVL,Memory/CALENDAR_MAP.md,CALENDAR MAP — Correspondance fichier ↔ événement Google Calendar,memory
cwXJH64xB,Memory/Tokens/token-hopital-sosmain-ville.md,📍 La Ville de l'Établissement SOS Main,memory
9eyRu3PWd,Memory/Tokens/token-finance-prestation-salon.md,💰 Finance<br>Prestation Salon,memory
eQyR6Vizq,Memory/Tokens/token-cpam-gestionnaire-nom.md,👤 La Gestionnaire CPAM,memory
bxFNV5Bcq,Memory/Tokens/token-finance-astreinte-145.md,💰 Finance<br>Astreinte 145,memory
